日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA10,MA20,MA60,EMA12,EMA26,MACD,Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower
2024-01-02,000858,127.31,123.01,127.31,122.81,215270,2947170556.8,3.53,-3.39,-4.31,0.55,,,,,123.01,123.01,0.0,0.0,0.0,,,,
2024-01-03,000858,122.99,121.89,123.68,120.76,164171,2211980500.19,2.37,-0.91,-1.12,0.42,,,,,122.83769230769231,122.92703703703704,-0.08934472934473092,-0.017868945868946187,-0.07147578347578473,,,,
2024-01-04,000858,121.89,119.33,121.91,119.02,178763,2371204451.67,2.37,-2.1,-2.56,0.46,,,,,122.2980473372781,122.66058984910836,-0.3625425118302559,-0.08680365906120813,-0.27573885276904775,,,,
2024-01-05,000858,119.01,118.25,120.31,117.79,156304,2062827516.43,2.11,-0.91,-1.08,0.4,,,,,121.67527082385071,122.33387948991515,-0.6586086660644384,-0.2011646604618542,-0.45744400560258414,,,,
2024-01-08,000858,118.02,115.11,118.15,115.01,210200,2706248455.91,2.66,-2.66,-3.14,0.54,119.518,,,,120.66522915864292,121.79877730547699,-1.1335481468340731,-0.387641357736298,-0.7459067890977751,,,,
2024-01-09,000858,115.11,114.82,116.39,114.42,174838,2241449420.48,1.71,-0.25,-0.29,0.45,117.88,,,,119.76596313423632,121.28183083840462,-1.5158677041683006,-0.6132866270226986,-0.902581077145602,,,,
2024-01-10,000858,114.82,115.81,116.59,113.02,165304,2118536476.06,3.11,0.86,0.99,0.43,116.66400000000002,,,,119.15735342127688,120.87651003555983,-1.7191566142829515,-0.8344606244747492,-0.8846959898082023,,,,
2024-01-11,000858,115.71,116.63,117.51,114.23,156464,2021717963.8,2.83,0.71,0.82,0.4,116.124,,,,118.76852981800351,120.56195373662948,-1.7934239186259617,-1.0262532833049918,-0.76717063532097,,,,
2024-01-12,000858,115.89,115.76,117.13,115.11,119208,1539729131.14,1.73,-0.75,-0.87,0.31,115.626,,,,118.30567907677221,120.2062534598421,-1.9005743830698947,-1.2011175032579724,-0.6994568798119223,,,,
2024-01-15,000858,115.01,115.69,116.4,114.09,115826,1485609938.54,2.0,-0.06,-0.07,0.3,115.74199999999999,117.63,,,117.90326691111494,119.87171616652047,-1.968449255405531,-1.3545838536874841,-0.6138654017180469,,,,
2024-01-16,000858,114.93,115.42,116.29,113.94,125287,1604334707.82,2.03,-0.23,-0.27,0.32,115.86200000000001,116.87100000000001,,,117.5212258478665,119.54195941344489,-2.0207335655783822,-1.4878137960656637,-0.5329197695127186,,,,
2024-01-17,000858,114.61,112.15,114.81,112.15,176757,2232551975.01,2.3,-2.83,-3.27,0.46,115.13,115.89699999999998,,,116.6948834097332,118.99440686430083,-2.299523454567634,-1.650155727766058,-0.6493677268015761,,,,
2024-01-18,000858,111.81,114.91,115.14,110.2,235948,2961463081.82,4.4,2.46,2.76,0.61,114.78599999999999,115.455,,,116.42028596208195,118.69185820768595,-2.2715722456040055,-1.7744390313336476,-0.49713321427035795,,,,
2024-01-19,000858,114.01,115.9,116.52,113.13,225020,2891090563.72,2.95,0.86,0.99,0.58,114.814,115.22,,,116.3402419679155,118.48505389600551,-2.1448119280900073,-1.8485136106849196,-0.2962983174050877,30.499177180471747,,,
2024-01-22,000858,115.41,114.01,116.16,112.81,213410,2733754455.75,2.89,-1.63,-1.89,0.55,114.478,115.11000000000001,,,115.98174320362081,118.15356842222732,-2.1718252186065143,-1.9131759322692388,-0.2586492863372756,27.634194831013914,,,
2024-01-23,000858,113.81,114.39,115.13,112.49,161987,2053575259.83,2.32,0.33,0.38,0.42,114.272,115.06699999999998,,,115.73685963383299,117.8747855761364,-2.1379259423034114,-1.9581259342760733,-0.1798000080273381,30.650154798761605,,,
2024-01-24,000858,115.19,115.06,115.49,112.27,166824,2118643963.14,2.81,0.59,0.67,0.43,114.854,114.992,,,115.63272738247407,117.66628294086705,-2.033555558392976,-1.973211859099454,-0.06034369929352201,37.793024585477426,,,
2024-01-25,000858,115.01,118.12,118.12,114.57,273421,3546308960.29,3.09,2.66,3.06,0.7,115.49600000000001,115.141,,,116.0153847082473,117.69989161191393,-1.6845069036666303,-1.9154708680128893,0.2309639643462591,49.66615305598357,,,
2024-01-26,000858,117.12,118.01,119.0,116.51,193174,2522565252.1,2.11,-0.09,-0.11,0.5,115.918,115.36600000000001,,,116.32224859928618,117.72286260362401,-1.4006140043378252,-1.8124994952778768,0.41188549094005156,58.81995133819953,,,
