日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA10,MA20,MA60,EMA12,EMA26,MACD,Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower
2024-01-30,600519,1543.66,1506.68,1543.66,1503.68,30866,5010784454.0,2.59,-2.4,-37.0,0.25,1526.5440000000003,1518.4990000000003,1532.185,,1526.9928404599318,1538.6198582835111,-11.627017823579308,-12.86396788856502,1.2369500649857113,43.85775862068966,1532.185,1579.544213853717,1484.8257861462828
2024-01-31,600519,1506.68,1498.59,1513.65,1491.81,29649,4770104891.0,1.45,-0.54,-8.09,0.24,1522.326,1521.2900000000002,1527.7305000000001,,1522.6231726968654,1535.6546835958436,-13.03151089897824,-12.897476490647664,-0.13403440833057623,41.13692451706236,1527.7305000000001,1569.5467131613793,1485.914286838621
2024-02-01,600519,1499.18,1503.71,1517.57,1494.68,26485,4272298576.0,1.53,0.34,5.12,0.21,1516.732,1521.206,1524.7820000000002,,1519.7134538204245,1533.2884107368923,-13.574956916467727,-13.032972575811678,-0.5419843406560485,43.02074969361452,1524.7820000000002,1564.4847728582224,1485.079227141778
2024-02-02,600519,1508.68,1489.68,1521.46,1474.68,39382,6336691194.0,3.11,-0.93,-14.03,0.31,1508.468,1517.306,1521.414,,1515.092922463436,1530.0581580897149,-14.965235626278854,-13.419425185905114,-1.5458104403737405,41.11470113085623,1521.414,1561.023081042769,1481.804918957231
2024-02-05,600519,1489.68,1523.69,1531.12,1488.93,53130,8590683071.0,2.83,2.28,34.01,0.42,1504.47,1516.1070000000002,1520.7150000000001,,1516.4155497767536,1529.5864426756618,-13.170892898908278,-13.369718728505747,0.1988258295974692,48.324081981212665,1520.7150000000001,1559.6030371268464,1481.826962873154
2024-02-06,600519,1523.69,1569.68,1579.16,1519.78,52472,8740646588.0,3.9,3.02,45.99,0.42,1517.07,1521.8070000000002,1522.4650000000001,,1524.6100805803298,1532.5563358107981,-7.946255230468296,-12.285026028898258,4.338770798429962,68.70748299319726,1522.4650000000001,1566.7716522271653,1478.158347772835
2024-02-07,600519,1574.71,1604.67,1608.27,1555.29,52601,8899606867.0,3.38,2.23,34.99,0.42,1538.286,1530.306,1525.9395,,1536.926991260279,1537.898088713702,-0.971097453422999,-10.022240313803206,9.051142860380207,68.8393797982839,1525.9395,1583.3927763849758,1468.486223615024
2024-02-08,600519,1613.69,1599.68,1618.68,1578.68,46757,7953438044.0,2.49,-0.31,-4.99,0.37,1557.48,1537.1060000000002,1528.911,,1546.5813002971593,1542.4745265867612,4.106773710398102,-7.196437508962944,11.303211219361046,64.39695027982802,1528.911,1594.9818547577604,1462.8401452422397
2024-02-19,600519,1631.55,1589.11,1631.61,1581.68,36977,6288277980.0,3.12,-0.66,-10.57,0.29,1577.366,1542.917,1531.5295,,1553.1241771745192,1545.929006098853,7.195171075666167,-4.318115792037123,11.51328686770329,60.67959224465316,1531.5295,1602.849306498247,1460.2096935017532
2024-02-20,600519,1591.04,1563.68,1591.04,1550.24,34470,5755266893.0,2.57,-1.6,-25.43,0.27,1585.364,1544.917,1533.0295,,1554.748149916901,1547.243894535975,7.504255380925997,-1.9536415574444987,9.457896938370496,60.09581122812573,1533.0295,1605.7871731999705,1460.2718268000297
